,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
180,SMR,San Marino,18000000,21000000,23000000,27000000,32000000,34000000,34000000,34000000,61,551.8033,1.0,0.0,218
181,STP,Sao Tome and Principe,78000000,97000000,120000000,144000000,182000000,201000000,219000000,227000000,964,235.8714,1.02,0.0,187
182,SAU,Saudi Arabia,6106000000,10172000000,16005000000,21547000000,29412000000,32750000000,35997000000,36409000000,2149690,16.9368,1.01,0.46,41
183,SEN,Senegal,4368000000,5704000000,7536000000,9704000000,12530000000,14356000000,16436000000,17316000000,196722,88.025,1.03,0.22,72
184,SRB,Serbia,7194000000,7777000000,7988000000,7935000000,7654000000,7519000000,7358000000,7221000000,88361,81.7257,0.99,0.09,105
185,SYC,Seychelles,54000000,65000000,71000000,80000000,92000000,99000000,106000000,107000000,452,236.9867,1.01,0.0,196
186,SLE,Sierra Leone,2779000000,3367000000,4325000000,4584000000,6437000000,7315000000,8234000000,8606000000,71740,119.957,1.02,0.11,102
187,SGP,Singapore,2062000000,2401000000,3022000000,4054000000,5164000000,5650000000,5910000000,5976000000,710,8416.4634,1.01,0.07,113
188,SXM,Sint Maarten,6000000,12000000,28000000,30000000,33000000,40000000,44000000,44000000,34,1299.2647,1.0,0.0,214
189,SVK,Slovakia,4523000000,4974000000,5261000000,5377000000,5396000000,5424000000,5457000000,5643000000,49037,115.0856,1.04,0.07,116
190,SVN,Slovenia,1741000000,1902000000,1986000000,1984000000,2057000000,2081000000,2118000000,2120000000,20273,104.5649,1.0,0.03,148
191,SLB,Solomon Islands,173000000,234000000,324000000,430000000,540000000,613000000,691000000,724000000,28896,25.0648,1.02,0.01,166
192,SOM,Somalia,3721000000,5892000000,6999000000,8721000000,12027000000,13764000000,16537000000,17598000000,637657,27.5971,1.03,0.22,70
193,ZAF,South Africa,22368000000,29464000000,39878000000,46813000000,51785000000,55877000000,58802000000,59894000000,1221037,49.0517,1.01,0.75,24
194,KOR,South Korea,32601000000,38171000000,44120000000,46789000000,48813000000,50994000000,51845000000,51816000000,100210,517.0722,1.0,0.65,29
195,SSD,South Sudan,3342000000,4192000000,4751000000,6114000000,9714000000,11194000000,10606000000,10913000000,619745,17.6091,1.02,0.14,86
196,ESP,Spain,33793000000,37492000000,38890000000,40742000000,46573000000,46431000000,47364000000,47559000000,505992,93.9909,1.0,0.6,30
197,LKA,Sri Lanka,12389000000,14944000000,17204000000,18776000000,20669000000,21337000000,21715000000,21832000000,65610,332.7563,1.0,0.27,61
198,SDN,Sudan,11305000000,16674000000,21091000000,26299000000,33740000000,38171000000,44440000000,46874000000,1886068,24.8529,1.03,0.59,32
199,SUR,Suriname,380000000,375000000,413000000,479000000,546000000,575000000,607000000,618000000,163820,3.7727,1.01,0.01,170
200,SWE,Sweden,8028000000,8312000000,8548000000,8871000000,9382000000,9849000000,10369000000,10549000000,450295,23.4276,1.01,0.13,87
